gene,kw_p,n_pat_CTL_CD8,n_pat_pre-Tex,n_pat_Tex-int,n_pat_Term-Tex,p_CTL_CD8_vs_pre-Tex,p_pre-Tex_vs_Tex-int,p_Tex-int_vs_Term-Tex,q_CTL_CD8_vs_pre-Tex,q_pre-Tex_vs_Tex-int,q_Tex-int_vs_Term-Tex
ZFP36,0.5011240391561651,5,5,5,5,0.42063492063492064,0.30952380952380953,0.30952380952380953,0.42063492063492064,0.42063492063492064,0.42063492063492064
ZFP36L1,0.49469922162016944,5,5,5,5,0.5476190476190477,0.30952380952380953,0.42063492063492064,0.5476190476190477,0.5476190476190477,0.5476190476190477
ZFP36L2,0.979412826832888,5,5,5,5,0.8412698412698413,0.8412698412698413,1.0,1.0,1.0,1.0
ZC3H12A,0.7763844031022626,5,5,5,5,1.0,0.8412698412698413,0.6904761904761905,1.0,1.0,1.0
RC3H1,0.1248134624618257,5,5,5,5,0.09523809523809523,0.2222222222222222,0.09523809523809523,0.14285714285714285,0.2222222222222222,0.14285714285714285
RC3H2,0.3593422959919189,5,5,5,5,0.15079365079365079,0.2222222222222222,0.6904761904761905,0.3333333333333333,0.3333333333333333,0.6904761904761905
PCBP1,0.8205988623005116,5,5,5,5,0.5476190476190477,1.0,1.0,1.0,1.0,1.0
ELAVL1,0.585554881349549,5,5,5,5,0.5476190476190477,0.8412698412698413,0.42063492063492064,0.8214285714285715,0.8412698412698413,0.8214285714285715
HNRNPLL,0.009800008690484014,5,5,5,5,0.6904761904761905,0.30952380952380953,0.007936507936507936,0.6904761904761905,0.4642857142857143,0.023809523809523808
TIA1,0.02883849536141849,5,5,5,5,0.031746031746031744,0.8412698412698413,0.09523809523809523,0.09523809523809523,0.8412698412698413,0.14285714285714285
