gene,kw_p,n_pat_CTL_CD8,n_pat_pre-Tex,n_pat_Tex-int,n_pat_Term-Tex,p_CTL_CD8_vs_pre-Tex,p_pre-Tex_vs_Tex-int,p_Tex-int_vs_Term-Tex,q_CTL_CD8_vs_pre-Tex,q_pre-Tex_vs_Tex-int,q_Tex-int_vs_Term-Tex
ZFP36,0.8398775532972503,5,5,5,5,1.0,1.0,0.42063492063492064,1.0,1.0,1.0
ZFP36L1,0.9342790756242519,5,5,5,5,0.8412698412698413,1.0,1.0,1.0,1.0,1.0
ZFP36L2,0.8858919213697674,5,5,5,5,0.6904761904761905,0.6904761904761905,0.8412698412698413,0.8412698412698413,0.8412698412698413,0.8412698412698413
ZC3H12A,0.9342790756242519,5,5,5,5,0.6904761904761905,0.6904761904761905,0.8412698412698413,0.8412698412698413,0.8412698412698413,0.8412698412698413
RC3H1,0.47168747629307395,5,5,5,5,0.6904761904761905,0.8412698412698413,0.2222222222222222,0.8412698412698413,0.8412698412698413,0.6666666666666666
RC3H2,0.6274480785101131,5,5,5,5,0.5476190476190477,1.0,0.5476190476190477,0.8214285714285715,1.0,0.8214285714285715
PCBP1,0.8752181601843116,5,5,5,5,0.6904761904761905,1.0,0.8412698412698413,1.0,1.0,1.0
ELAVL1,0.237251574218137,5,5,5,5,0.2222222222222222,0.30952380952380953,0.42063492063492064,0.42063492063492064,0.42063492063492064,0.42063492063492064
HNRNPLL,0.007442115988589455,5,5,5,5,0.2222222222222222,0.6904761904761905,0.007936507936507936,0.3333333333333333,0.6904761904761905,0.023809523809523808
TIA1,0.2198011005914495,5,5,5,5,0.2222222222222222,0.5476190476190477,0.2222222222222222,0.3333333333333333,0.5476190476190477,0.3333333333333333
