gene,kw_p,n_pat_CTL_CD8,n_pat_pre-Tex,n_pat_Tex-int,n_pat_Term-Tex,p_CTL_CD8_vs_pre-Tex,p_pre-Tex_vs_Tex-int,p_Tex-int_vs_Term-Tex,q_CTL_CD8_vs_pre-Tex,q_pre-Tex_vs_Tex-int,q_Tex-int_vs_Term-Tex
ZFP36,0.7382025383526546,12,12,12,11,0.3407786135629546,0.9309874465595671,0.8777166830732149,0.9309874465595671,0.9309874465595671,0.9309874465595671
ZFP36L1,0.5143901134696864,12,12,12,11,0.3407786135629546,0.623604884395689,0.23008418191625113,0.5111679203444319,0.623604884395689,0.5111679203444319
ZFP36L2,0.2566574003926295,12,12,12,11,0.7950121719642381,0.7950121719642381,0.3401043685615802,0.7950121719642381,0.7950121719642381,0.7950121719642381
ZC3H12A,0.3398284615045225,12,12,12,11,0.3407786135629546,0.08825668633985302,0.3547187435174005,0.3547187435174005,0.2647700590195591,0.3547187435174005
RC3H1,0.23518931987699418,12,12,12,11,0.43573066003173655,0.6650055421020291,0.8294475889935782,0.8294475889935782,0.8294475889935782,0.8294475889935782
RC3H2,0.47763012608010125,12,12,12,11,0.7950121719642381,0.6650055421020291,0.3877104515085724,0.7950121719642381,0.7950121719642381,0.7950121719642381
PCBP1,0.02837770989994221,12,12,12,11,0.623604884395689,0.007259954988190575,0.07942129814627645,0.623604884395689,0.021779864964571728,0.11913194721941468
ELAVL1,0.6228328185914185,12,12,12,11,0.9769502088750935,0.5057941036865485,0.7812867426176477,0.9769502088750935,0.9769502088750935,0.9769502088750935
HNRNPLL,0.024802129898126243,12,12,12,11,0.08853377201422956,0.11235119769046395,0.23008418191625113,0.16852679653569594,0.16852679653569594,0.23008418191625113
TIA1,0.00815860442368453,12,12,12,11,0.8398599725400034,0.06896433333905408,0.28145768484462164,0.8398599725400034,0.20689300001716224,0.42218652726693245
