therapy,timepoint,response,CD8_stage,n_patients,mean_ZFP36,sd_ZFP36,mean_ZFP36L1,sd_ZFP36L1,mean_ZFP36L2,sd_ZFP36L2,mean_ZC3H12A,sd_ZC3H12A,mean_RC3H1,sd_RC3H1,mean_RC3H2,sd_RC3H2,mean_PCBP1,sd_PCBP1,mean_ELAVL1,sd_ELAVL1,mean_HNRNPLL,sd_HNRNPLL,mean_TIA1,sd_TIA1
anti-CTLA4,Pre,Non-responder,Non-CD8,1,2.0724143981933594,,1.4115524291992188,,1.0435819625854492,,0.7396621108055115,,1.009796142578125,,0.43881329894065857,,1.4542715549468994,,0.2701074481010437,,0.5677292346954346,,0.6983699798583984,
anti-CTLA4,Pre,Non-responder,Other_CD8,1,2.153198480606079,,1.8202474117279053,,1.7370249032974243,,0.9695538282394409,,1.4417095184326172,,0.434425950050354,,1.5111572742462158,,0.42861637473106384,,1.5031342506408691,,0.8955947160720825,
anti-CTLA4,Pre,Non-responder,T-RM,1,2.3442299365997314,,2.3712193965911865,,1.972816824913025,,0.68556147813797,,0.79569411277771,,0.6777992248535156,,2.1836113929748535,,0.6868378520011902,,1.193095088005066,,1.9961520433425903,
anti-CTLA4,Pre,Non-responder,TRM-CD69only,1,2.2440850734710693,,2.109025716781616,,1.970750331878662,,0.7624905109405518,,0.18270713090896606,,0.6129869818687439,,2.029935598373413,,0.6943948268890381,,1.0306140184402466,,1.3472185134887695,
anti-CTLA4,Pre,Responder,Non-CD8,1,2.1806437969207764,,1.8134498596191406,,1.9295388460159302,,0.9528757929801941,,0.7468371391296387,,0.4457043707370758,,0.8525297045707703,,0.3491296172142029,,0.7279949188232422,,0.7022308707237244,
anti-CTLA4,Pre,Responder,Other_CD8,1,2.142853260040283,,1.865999698638916,,2.1440370082855225,,0.7768086791038513,,1.065905213356018,,0.6657888293266296,,1.0462106466293335,,0.4329504668712616,,1.257463812828064,,0.7105463743209839,
anti-CTLA4,Pre,Responder,Stem-like,1,0.0,,2.012232780456543,,2.3437271118164062,,0.0,,0.0,,0.0,,0.0,,0.0,,1.801709771156311,,2.312535524368286,
anti-CTLA4,Pre,Responder,T-CM,1,1.9697247743606567,,2.31740665435791,,2.29703426361084,,1.0766607522964478,,1.31573486328125,,1.9445066452026367,,0.9491328597068787,,0.4996934235095978,,1.6105698347091675,,1.6320503950119019,
anti-CTLA4,Pre,Responder,T-EFF/CTL,1,2.2801296710968018,,1.9538421630859375,,1.8419721126556396,,0.558668315410614,,0.890913188457489,,0.4270790219306946,,1.383270502090454,,0.0,,1.8014297485351562,,1.6103675365447998,
anti-CTLA4,Pre,Responder,T-RM,1,2.2290759086608887,,1.7264273166656494,,2.2638773918151855,,1.0742464065551758,,1.3221304416656494,,0.3957371413707733,,1.1204285621643066,,0.4075835943222046,,1.3223296403884888,,0.37222617864608765,
anti-CTLA4,Pre,Responder,TRM-CD69only,1,2.3377842903137207,,1.8827487230300903,,2.24529767036438,,1.116721749305725,,0.8980856537818909,,0.5610578656196594,,0.8443503379821777,,0.4473700225353241,,0.8189711570739746,,0.7538620829582214,
anti-CTLA4+PD1,Post,Non-responder,Non-CD8,2,1.9508768320083618,0.3373411838450733,2.0172032713890076,0.21073432684816717,0.9285726249217987,0.2803064247130395,0.5156324207782745,0.2374735940957822,1.0439493656158447,0.2622134148500404,0.47671596705913544,0.17273862681423238,1.3004065454006195,0.6941931975370521,0.3719544857740402,0.19097287076659153,0.7579071819782257,0.1999702324727274,0.8551998138427734,0.18997970135485656
anti-CTLA4+PD1,Post,Non-responder,Other_CD8,2,1.881130874156952,0.27373375012831114,1.787708818912506,0.44217801347434427,0.9491769373416901,0.369781908171848,0.4460112303495407,0.1033099546748426,1.0815891027450562,0.10287691687981741,0.6097777485847473,0.16559218610730092,1.0753928422927856,0.10853184383822109,0.24623432755470276,0.1955156899067625,1.0381441116333008,0.23603685017689433,0.7889444530010223,0.031074492085445573
anti-CTLA4+PD1,Post,Non-responder,Stem-like,1,0.0,,0.0,,2.086913585662842,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
anti-CTLA4+PD1,Post,Non-responder,T-CM,2,1.110687494277954,1.570749317966072,1.9737066626548767,0.09914734225508841,1.948936641216278,0.4111240469041235,0.0,0.0,0.7935961484909058,1.1223144362428916,0.9146881699562073,1.293564415294295,1.0446959733963013,1.4774232141336114,0.9635820388793945,1.3627107878423588,1.0334314107894897,1.4614927169208576,1.0477805137634277,1.481785412954489
anti-CTLA4+PD1,Post,Non-responder,T-EFF/CTL,2,1.8404619693756104,0.26126932544339637,1.839560091495514,0.6367990100809175,1.4820280075073242,0.0809128454216382,0.2156931608915329,0.3050361934439279,0.9923367202281952,0.6099751962551897,0.5796633809804916,0.41926658622876145,0.8745404928922653,0.8286405273953186,0.3871717005968094,0.2606298523843648,1.5116629004478455,0.26687274895291974,0.9174536764621735,0.08402450510034898
anti-CTLA4+PD1,Post,Non-responder,T-EM/TEMRA,2,2.3427642583847046,0.021703098172199772,2.0385995507240295,0.06269183557971146,0.9765907526016235,0.023562195660015307,0.728799968957901,0.3153688937514344,0.9753820598125458,0.011559995462719503,0.0,0.0,0.7182555198669434,0.21119726783221085,0.4721459150314331,0.6677151564565077,1.0364115238189697,1.465707233184553,0.0,0.0
anti-CTLA4+PD1,Post,Non-responder,T-RM,2,1.9562178254127502,0.054250833347343645,2.0188422799110413,0.35150901555940434,0.8509302735328674,0.20915103833700693,0.5410600304603577,0.07576806391761037,1.5058050751686096,0.017974197897046934,0.504750445485115,0.22530809593393092,1.334570586681366,0.39522811010714876,0.21188591420650482,0.12156404979285038,0.6391701400279999,0.3967273999492268,0.8917608261108398,0.04197497366266661
anti-CTLA4+PD1,Post,Non-responder,TRM-CD69only,2,2.2220237255096436,0.11367443370612634,1.609954833984375,0.4309527061356498,1.3755358457565308,0.3875006540200704,0.7193522453308105,0.4719698505190578,1.063984453678131,0.004965825985250557,0.4599381238222122,0.22194081561900156,1.229530155658722,0.18110003472318736,0.21005702763795853,0.2086297977247606,0.9708385765552521,0.1859795018158391,0.850565642118454,0.06807251299485474
anti-CTLA4+PD1,Post,Responder,Non-CD8,3,1.9443262815475464,0.1265339935243031,1.7993231217066448,0.2635308267554556,1.1853849490483601,0.15971097069058451,0.46547045310338336,0.1171798753292685,1.0017609198888142,0.14833693892069275,0.432906707127889,0.06627264690697875,0.9231543143590292,0.2229969419836978,0.19054543475310007,0.054780148605916686,0.4953526556491852,0.1960214634044681,0.5879311362902323,0.11843723615461856
anti-CTLA4+PD1,Post,Responder,Other_CD8,3,1.9812963406244914,0.07892242808164615,1.7766063610712688,0.34139104414071453,1.3418492873509724,0.37318847342490663,0.5277102192242941,0.033289390215382166,1.0822537342707317,0.09297948010360929,0.4581878185272217,0.11297181837580896,1.0482956369717915,0.2252756188646065,0.2407395119468371,0.13264626180777456,0.7435885071754456,0.2720072889771035,0.6589370767275492,0.21217345267705975
anti-CTLA4+PD1,Post,Responder,Stem-like,2,0.9869340658187866,1.395735541048949,1.8438197374343872,0.6648275915713293,0.5919666886329651,0.8371673195378303,0.3024434447288513,0.4277196213863791,0.5928803086280823,0.8384593733257802,0.217569500207901,0.3076897379527495,0.6284291744232178,0.8887330614602419,0.2579129636287689,0.3647440110756438,1.7566772103309631,0.8396824748695664,1.3674875497817993,0.5024405047058877
anti-CTLA4+PD1,Post,Responder,T-CM,2,1.7931539416313171,0.1561927645397954,2.0623090863227844,0.4733043040366097,1.6069144010543823,0.8504514161325849,0.36930912733078003,0.5222819765793614,1.4655338525772095,0.5658204297343881,0.30483102798461914,0.43109617400798084,0.7172585129737854,1.0143567167750858,0.3226185142993927,0.45625147839485947,1.3124042749404907,0.8126994723970129,1.4800528287887573,0.9116034587487994
anti-CTLA4+PD1,Post,Responder,T-EFF/CTL,2,1.909377932548523,0.33578512219805107,1.9476038217544556,0.11280873743771257,1.4718413352966309,0.28299467715160986,0.5568224489688873,0.05390527133640283,1.1479640007019043,0.10031000521810993,0.5045369565486908,0.33598443464465905,0.5953418463468552,0.4306040041844949,0.06992228329181671,0.09888504134338086,0.8806312866508961,1.1093696797305663,0.7830298542976379,0.181048278393216
anti-CTLA4+PD1,Post,Responder,T-EM/TEMRA,1,2.2777628898620605,,2.1005239486694336,,1.018531084060669,,0.8033645153045654,,0.8311998844146729,,0.517231285572052,,1.1331493854522705,,0.44666793942451477,,0.855868935585022,,0.8448290824890137,
anti-CTLA4+PD1,Post,Responder,T-RM,3,2.2002431551615396,0.1323903405216103,1.6312747796376545,0.6590047862531442,1.588015119234721,0.2819699304391351,0.6802543004353842,0.270859715434032,1.4404571851094563,0.21919488594111605,0.49306673804918927,0.18357875289185738,1.459184169769287,0.2517857894337823,0.11066752423842748,0.1387464153377712,0.48746559023857117,0.12352768660417514,1.1111902793248494,0.2900287477240991
anti-CTLA4+PD1,Post,Responder,TRM-CD69only,3,2.045552690823873,0.271063774852984,1.4171858827273052,0.5970303500333612,1.3845489422480266,0.723082941096784,0.3685334622859955,0.3738655930166141,1.151833951473236,0.2404299448355467,0.5683785180250803,0.08392133750504156,1.2190446257591248,0.577165549065648,0.23424524317185083,0.12822489743019388,0.8957305749257406,0.21189956941872384,0.6583785017331442,0.14379370469011724
anti-CTLA4+PD1,Pre,Non-responder,Non-CD8,1,2.264547824859619,,1.888572096824646,,1.2260987758636475,,0.740651547908783,,1.136536955833435,,0.45392292737960815,,1.276214361190796,,0.2657044529914856,,0.502179741859436,,0.7580061554908752,
anti-CTLA4+PD1,Pre,Non-responder,Other_CD8,1,2.2837133407592773,,1.6554943323135376,,1.5201431512832642,,0.32943588495254517,,1.3418705463409424,,0.6005532145500183,,1.4494359493255615,,0.3737216591835022,,1.264215350151062,,0.9879137277603149,
anti-CTLA4+PD1,Pre,Non-responder,T-EFF/CTL,1,2.0006723403930664,,2.1891982555389404,,1.470708966255188,,0.3532554805278778,,1.2964305877685547,,0.4565620422363281,,1.3377397060394287,,0.21073883771896362,,1.7429119348526,,0.9579036235809326,
anti-CTLA4+PD1,Pre,Non-responder,T-EM/TEMRA,1,1.9163718223571777,,2.3432507514953613,,0.9823159575462341,,0.3807039260864258,,1.482864499092102,,0.44116833806037903,,1.1837702989578247,,0.7523389458656311,,1.6013717651367188,,1.066117286682129,
anti-CTLA4+PD1,Pre,Non-responder,T-RM,1,1.557975172996521,,2.1502127647399902,,1.862805724143982,,1.438532829284668,,1.9356733560562134,,1.5024493932724,,1.1937592029571533,,0.0,,1.3369423151016235,,0.0,
anti-CTLA4+PD1,Pre,Non-responder,TRM-CD69only,1,2.3589749336242676,,2.0268564224243164,,1.9216175079345703,,1.1352660655975342,,1.253342628479004,,0.258989155292511,,0.8030476570129395,,0.0,,0.16555236279964447,,0.7853513956069946,
anti-CTLA4+PD1,Pre,Responder,Non-CD8,4,1.8807571530342102,0.33844281175886876,1.7386186718940735,0.24022065903093942,1.4313430786132812,0.1313539173597928,0.5255085527896881,0.21192388779778304,0.8974094241857529,0.13281506789614403,0.35201631486415863,0.07854792415808848,0.7992085367441177,0.22333385830784946,0.1595214195549488,0.059839707234184705,0.4783340282738209,0.3053072311241547,0.5101056024432182,0.1097728495099748
