rbp,spearman_tex,rho_pseudotime,centrality,score,therapy,timepoint
PCBP1,-0.17439981330012294,0.21689861659917456,0.0,0.15226949162981385,anti-CTLA4+PD1,Post
ELAVL1,-0.15621622944917382,0.1882273720104958,0.0,0.13457632632773564,anti-CTLA4+PD1,Post
HNRNPLL,0.21089300808105454,-0.09184459280535445,0.0,0.1329998818821336,anti-CTLA4+PD1,Post
ZFP36L2,0.0265768429567085,-0.2648857827282344,0.0,0.09275415629682457,anti-CTLA4+PD1,Post
ZFP36L1,-0.05134623729330048,0.17840672564297602,0.0,0.07919513633954305,anti-CTLA4+PD1,Post
RC3H2,-0.0643342273668754,0.096977846058583,0.0,0.0612604675010126,anti-CTLA4+PD1,Post
ZFP36,0.017559845048523443,-0.1605391012689077,0.0,0.056941652904934026,anti-CTLA4+PD1,Post
TIA1,-0.05833664545023521,0.0897272015524134,0.0,0.05608648319084163,anti-CTLA4+PD1,Post
RC3H1,0.055066412413253996,-0.032262207470129214,0.0,0.03721186844766576,anti-CTLA4+PD1,Post
ZC3H12A,-0.028113951101293763,0.025412922133413444,0.0,0.021680852190670914,anti-CTLA4+PD1,Post
