rbp,spearman_tex,rho_pseudotime,centrality,score,therapy,timepoint
HNRNPLL,0.3520205739903856,-0.14297481658100603,0.0,0.2189027319694946,anti-PD1,Post
ZFP36L2,0.015354434076548419,-0.20891873882840098,0.0,0.0703528386867945,anti-PD1,Post
TIA1,0.09260381513435981,0.07320478404581937,0.0,0.06826334278092572,anti-PD1,Post
ZFP36,-0.08283658420273174,-0.08253955945517152,0.0,0.06618015993791733,anti-PD1,Post
ZFP36L1,0.0810525413379343,-0.04389281728330975,0.0,0.05369411585396007,anti-PD1,Post
PCBP1,0.01753633143155404,0.13165452951475073,0.0,0.04826452457020224,anti-PD1,Post
RC3H1,0.07836108797992647,-0.011019081479451883,0.0,0.042486268433798796,anti-PD1,Post
RC3H2,0.04561813509889238,0.04969682480363185,0.0,0.03771811499053574,anti-PD1,Post
ELAVL1,0.0038237164649013696,0.10956535427586613,0.0,0.034781464515210525,anti-PD1,Post
ZC3H12A,-0.03656296873331692,-0.019006064853990017,0.0,0.023983303822855465,anti-PD1,Post
