rbp,spearman_tex,rho_pseudotime,centrality,score,therapy,timepoint
HNRNPLL,0.358052275510447,-0.04154634325485753,0.0,0.19149004073168074,anti-PD1,Pre
PCBP1,0.04449456266768585,0.19749709177521865,0.0,0.08149640886640852,anti-PD1,Pre
TIA1,0.0830195562183784,0.05860178827668806,0.0,0.05909031459219562,anti-PD1,Pre
ZFP36L2,0.026419450976878343,-0.14736228998755108,0.0,0.057418412484704494,anti-PD1,Pre
ZFP36,-0.05051578489999449,0.06823017033656616,0.0,0.04572694355096709,anti-PD1,Pre
RC3H1,0.05883531693688344,0.029886021954121902,0.0,0.03838346505467829,anti-PD1,Pre
ELAVL1,0.016891372139728078,0.07734430723194378,0.0,0.03164897823944718,anti-PD1,Pre
ZC3H12A,0.01552151063974293,0.07221458287012796,0.0,0.02942513018090985,anti-PD1,Pre
ZFP36L1,0.01016068006411563,0.06449891533749658,0.0,0.024430014633306785,anti-PD1,Pre
RC3H2,0.022481382291037473,0.022181480725445468,0.0,0.017895135363152376,anti-PD1,Pre
