therapy,gene,mean_Pre | Responder,sd_Pre | Responder,n_Pre | Responder,mean_Pre | Non-responder,sd_Pre | Non-responder,n_Pre | Non-responder,mean_Post | Responder,sd_Post | Responder,n_Post | Responder,mean_Post | Non-responder,sd_Post | Non-responder,n_Post | Non-responder,p_R_vs_NR_Pre,p_R_vs_NR_Post,p_Pre_vs_Post_Responder_unpaired,n_unpaired_Responder,p_Pre_vs_Post_Non-responder_unpaired,n_unpaired_Non-responder,p_Pre_vs_Post_Responder,p_Pre_vs_Post_Non-responder,q_R_vs_NR_Pre,q_R_vs_NR_Post,q_Pre_vs_Post_Responder,q_Pre_vs_Post_Non-responder
anti-CTLA4+PD1,ZFP36,1.8975581228733063,0.37619999380144453,4,2.194611072540283,,1,1.9610937436421711,0.1324204528055332,3,1.95229971408844,0.3231734364244392,2,,,0.8571428571428571,3,,1,0.8571428571428571,,,,0.9428571428571428,
anti-CTLA4+PD1,ZFP36L1,1.7284699380397797,0.22535107062375034,4,1.9596649408340454,,1,1.796993374824524,0.27622358196501284,3,1.9757083058357239,0.24675116912424275,2,,,0.6285714285714286,3,,1,0.6285714285714286,,,,0.9428571428571428,
anti-CTLA4+PD1,ZFP36L2,1.4513430297374725,0.14410398613053077,4,1.2926931381225586,,1,1.2389813264211018,0.14084233326960796,3,0.9655767679214478,0.2945933212744139,2,,,0.22857142857142856,3,,1,0.22857142857142856,,,,0.8380952380952381,
anti-CTLA4+PD1,ZC3H12A,0.5314985923469067,0.22206020600562418,4,0.6432566046714783,,1,0.48807548483212787,0.1149230605832392,3,0.5205190628767014,0.2397808600972383,2,,,0.8571428571428571,3,,1,0.8571428571428571,,,,0.9428571428571428,
anti-CTLA4+PD1,RC3H1,0.9188896864652634,0.11485373249220947,4,1.2100610733032227,,1,1.0436776876449585,0.12976490700118515,3,1.0583180785179138,0.23837574738815787,2,,,0.4,3,,1,0.4,,,,0.9428571428571428,
anti-CTLA4+PD1,RC3H2,0.35064710676670074,0.07625193897044354,4,0.46802404522895813,,1,0.45213741064071655,0.08258637817578837,3,0.48850661516189575,0.16721939163460953,2,,,0.11428571428571428,3,,1,0.11428571428571428,,,,0.8380952380952381,
anti-CTLA4+PD1,PCBP1,0.8557624369859695,0.18518126386669592,4,1.2782341241836548,,1,0.9534866412480673,0.20239796227136883,3,1.2684518694877625,0.6197539816061417,2,,,0.6285714285714286,3,,1,0.6285714285714286,,,,0.9428571428571428,
anti-CTLA4+PD1,ELAVL1,0.15070025250315666,0.05344621343460855,4,0.2870989143848419,,1,0.21475827197233835,0.0677847281596099,3,0.34843621402978897,0.1822059574914011,2,,,0.22857142857142856,3,,1,0.22857142857142856,,,,0.8380952380952381,
anti-CTLA4+PD1,HNRNPLL,0.5146508552134037,0.311894696553506,4,0.8282644152641296,,1,0.5472493271032969,0.14091363138060578,3,0.8016142547130585,0.22181022360889055,2,,,1.0,3,,1,1.0,,,,1.0,
anti-CTLA4+PD1,TIA1,0.5341333970427513,0.1253605085403109,4,0.8197681307792664,,1,0.6335184574127197,0.11923777934301935,3,0.8463779091835022,0.1523321132161975,2,,,0.6285714285714286,3,,1,0.6285714285714286,,,,0.9428571428571428,
anti-CTLA4+PD1,rbp_module_pm,0.893365341797471,0.1447517104997838,4,1.098167645931244,,1,0.9329971725742022,0.07725599299059709,3,1.0225808791816235,0.26859962018657313,2,,,0.8571428571428571,3,,1,0.8571428571428571,,,,0.9428571428571428,
