therapy,gene,mean_Pre | Responder,sd_Pre | Responder,n_Pre | Responder,mean_Pre | Non-responder,sd_Pre | Non-responder,n_Pre | Non-responder,mean_Post | Responder,sd_Post | Responder,n_Post | Responder,mean_Post | Non-responder,sd_Post | Non-responder,n_Post | Non-responder,p_R_vs_NR_Pre,p_R_vs_NR_Post,p_Pre_vs_Post_Responder_unpaired,n_unpaired_Responder,p_Pre_vs_Post_Non-responder_unpaired,n_unpaired_Non-responder,p_Pre_vs_Post_Responder,p_Pre_vs_Post_Non-responder,q_R_vs_NR_Pre,q_R_vs_NR_Post,q_Pre_vs_Post_Responder,q_Pre_vs_Post_Non-responder
anti-CTLA4,ZFP36,2.188331127166748,,1,2.08432674407959,,1,,,0,,,0,,,,0,,0,,,,,,
anti-CTLA4,ZFP36L1,1.8347163200378418,,1,1.4657102823257446,,1,,,0,,,0,,,,0,,0,,,,,,
anti-CTLA4,ZFP36L2,2.032015800476074,,1,1.1255221366882324,,1,,,0,,,0,,,,0,,0,,,,,,
anti-CTLA4,ZC3H12A,0.9454405903816223,,1,0.7600904703140259,,1,,,0,,,0,,,,0,,0,,,,,,
anti-CTLA4,RC3H1,0.8716985583305359,,1,1.0379425287246704,,1,,,0,,,0,,,,0,,0,,,,,,
anti-CTLA4,RC3H2,0.5081802606582642,,1,0.4427209496498108,,1,,,0,,,0,,,,0,,0,,,,,,
anti-CTLA4,PCBP1,0.9165393710136414,,1,1.4730008840560913,,1,,,0,,,0,,,,0,,0,,,,,,
anti-CTLA4,ELAVL1,0.3678531348705292,,1,0.29317793250083923,,1,,,0,,,0,,,,0,,0,,,,,,
anti-CTLA4,HNRNPLL,0.9178157448768616,,1,0.6635115146636963,,1,,,0,,,0,,,,0,,0,,,,,,
anti-CTLA4,TIA1,0.7302145957946777,,1,0.7364524006843567,,1,,,0,,,0,,,,0,,0,,,,,,
anti-CTLA4,rbp_module_pm,1.1312805503606795,,1,1.0082455843687057,,1,,,0,,,0,,,,0,,0,,,,,,
