therapy,gene,mean_Pre | Responder,sd_Pre | Responder,n_Pre | Responder,mean_Pre | Non-responder,sd_Pre | Non-responder,n_Pre | Non-responder,mean_Post | Responder,sd_Post | Responder,n_Post | Responder,mean_Post | Non-responder,sd_Post | Non-responder,n_Post | Non-responder,p_R_vs_NR_Pre,p_R_vs_NR_Post,p_Pre_vs_Post_Responder_unpaired,n_unpaired_Responder,p_Pre_vs_Post_Non-responder_paired,n_paired_Non-responder,p_Pre_vs_Post_Responder,p_Pre_vs_Post_Non-responder,q_R_vs_NR_Pre,q_R_vs_NR_Post,q_Pre_vs_Post_Responder,q_Pre_vs_Post_Non-responder
anti-PD1,ZFP36,1.5904959738254547,0.4683355757963295,4,1.9385439902544022,0.2659704446733722,8,2.0789282023906708,0.0915875307670191,4,1.9661717096964517,0.22945090991847705,15,0.21414141414141416,0.5964912280701754,0.05714285714285714,4,0.3125,5,0.05714285714285714,0.3125,0.29444444444444445,0.6561403508771929,0.3142857142857143,0.6875
anti-PD1,ZFP36L1,1.8085016310214996,0.19090030698804988,4,1.668664038181305,0.23744141498328622,8,1.5452070236206055,0.21737927799161624,4,1.7715299288431803,0.15341906149471937,15,0.21414141414141416,0.12435500515995872,0.11428571428571428,4,0.3125,5,0.11428571428571428,0.3125,0.29444444444444445,0.227984176126591,0.41904761904761906,0.6875
anti-PD1,ZFP36L2,1.1744574308395386,0.13899576570222458,4,1.3985324800014496,0.37882027834882526,8,1.7317472994327545,0.2936331316953434,4,1.3178624749183654,0.2899898613071187,15,0.3676767676767677,0.048503611971104234,0.02857142857142857,4,1.0,5,0.02857142857142857,1.0,0.4044444444444445,0.13338493292053663,0.3142857142857143,1.0
anti-PD1,ZC3H12A,0.34257371351122856,0.21849099779386297,4,0.5768501609563828,0.22406810819654513,8,0.5461396649479866,0.2542573999822566,4,0.6098451455434163,0.24544768011098503,15,0.07272727272727274,0.8095975232198143,0.34285714285714286,4,0.125,5,0.34285714285714286,0.125,0.16000000000000003,0.8095975232198143,0.5387755102040817,0.45833333333333337
anti-PD1,RC3H1,0.8676032871007919,0.06251967052154729,4,1.012174241244793,0.13904124303073084,8,0.8727613687515259,0.1762226113847906,4,0.9972361207008362,0.1578102095130075,15,0.07272727272727274,0.12435500515995872,1.0,4,0.625,5,1.0,0.625,0.16000000000000003,0.227984176126591,1.0,0.859375
anti-PD1,RC3H2,0.36131178587675095,0.10082882930836175,4,0.35368360951542854,0.06899105412286176,8,0.29131174087524414,0.0740893633355214,4,0.4240733524163564,0.11079395823650945,15,0.9333333333333333,0.03663570691434469,0.34285714285714286,4,0.0625,5,0.34285714285714286,0.0625,0.9333333333333333,0.13338493292053663,0.5387755102040817,0.34375
anti-PD1,PCBP1,0.7816927134990692,0.21827204588815313,4,1.0632179453969002,0.2156105439728592,8,0.9030768573284149,0.09254944792545286,4,1.1640907764434814,0.1870512646255154,15,0.04848484848484849,0.009287925696594427,0.34285714285714286,4,0.625,5,0.34285714285714286,0.625,0.16000000000000003,0.1021671826625387,0.5387755102040817,0.859375
anti-PD1,ELAVL1,0.17074673809111118,0.0686989863468786,4,0.24960705265402794,0.055827495823463816,8,0.1751720868051052,0.08785694224241111,4,0.2598474850257238,0.10591312432947719,15,0.04848484848484849,0.22084623323013414,1.0,4,1.0,5,1.0,1.0,0.16000000000000003,0.3470440807902108,1.0,1.0
anti-PD1,HNRNPLL,0.6492503583431244,0.35015108574689247,4,0.9345346130430698,0.2563989082128291,8,0.6862357035279274,0.39485364352651864,4,0.859431787331899,0.26140136947869763,15,0.2828282828282829,0.4107327141382869,1.0,4,0.4375,5,1.0,0.4375,0.34567901234567905,0.5647574819401444,1.0,0.8020833333333334
anti-PD1,TIA1,0.5332546234130859,0.08755056684692307,4,0.6681134589016438,0.1423948845408429,8,0.5073151588439941,0.08194349234509193,4,0.6834894299507142,0.20259444333658685,15,0.15353535353535355,0.048503611971104234,0.8857142857142857,4,0.8125,5,0.8857142857142857,0.8125,0.28148148148148155,0.13338493292053663,1.0,0.9930555555555555
anti-PD1,rbp_module_pm,0.8279888255521656,0.12363081757455432,4,0.9863921590149403,0.05948509578251352,8,0.933789510652423,0.11892058426750575,4,1.0053578210870426,0.13331975874333749,15,0.04848484848484849,0.5964912280701754,0.2,4,0.0625,5,0.2,0.0625,0.16000000000000003,0.6561403508771929,0.5387755102040817,0.34375
