rbp,spearman_tex,rho_pseudotime,centrality,score,therapy,timepoint
HNRNPLL,0.40427801320737966,-0.08709298823463617,0.0,0.22826690307408068,anti-CTLA4+PD1,Pre
ZFP36L2,0.028592526407257953,-0.21439373122230085,0.0,0.07861438257031923,anti-CTLA4+PD1,Pre
RC3H1,0.05956399743241005,0.08676311567942885,0.0,0.05581093342003368,anti-CTLA4+PD1,Pre
ZFP36L1,0.0010636067069713813,0.1326063257108989,0.0,0.04031370106675536,anti-CTLA4+PD1,Pre
TIA1,0.045434722323220295,0.05450178096294512,0.0,0.03906789545049368,anti-CTLA4+PD1,Pre
PCBP1,-0.011094847087891732,0.09617552702310463,0.0,0.034400081650877254,anti-CTLA4+PD1,Pre
ZC3H12A,-0.03865630190582088,0.04930552506161777,0.0,0.03411980847139577,anti-CTLA4+PD1,Pre
ELAVL1,0.001652558905289242,0.08518437780131656,0.0,0.02638159279303959,anti-CTLA4+PD1,Pre
ZFP36,-0.0376136914846109,0.016407366473551534,0.0,0.02372905568437091,anti-CTLA4+PD1,Pre
RC3H2,0.011653446129635151,0.05174533074209903,0.0,0.021350322287447283,anti-CTLA4+PD1,Pre
